RAJ2000,DEJ2000,Flux1000
53.4007,31.1464,3.9078438E-10
53.4478,29.2732,1.3034325E-09
53.4484,78.8495,6.0363153E-10
53.4637,40.1162,3.2871092E-10
53.4735,65.6182,1.1255181E-09
53.5569,-40.1439,3.677836E-09
53.5639,-37.4329,2.8336558E-09
53.5751,39.3406,2.6395677E-10
53.7851,-44.9903,4.5514292E-10
54.028,75.0505,1.43213E-09
54.1194,32.3653,4.3495202E-10
54.1229,-3.8107,1.2070016E-10
54.236,-36.2819,1.7674547E-10
54.4832,-11.932,1.3502024E-10
54.5176,-24.7131,1.2052848E-10
54.6311,13.0399,1.3879475E-09
54.7029,-57.1045,6.360117E-11
54.7467,-28.8016,3.7198825E-10
54.808,-17.5993,6.224639E-10
54.8784,-1.7739,5.245613E-09
55.0963,41.5111,3.5440841E-09
55.1086,53.0413,9.140656E-10
55.1171,-24.37,1.522699E-10
55.1455,-21.3208,7.8055484E-10
55.1468,-2.9361,2.6835653E-10
55.5773,38.9805,3.7692627E-10
55.5835,31.9126,6.1447786E-10
55.7152,-30.1329,1.4641145E-10
55.8115,-64.7316,8.675558E-10
55.8243,-25.5188,4.533548E-10
55.8269,-63.0545,2.1104386E-10
55.845,14.0158,1.6446046E-10
55.8805,36.3567,4.452425E-10
56.1044,32.0404,5.7058236E-10
56.1211,34.5492,2.1647062E-10
56.3229,-23.8824,7.978875E-10
56.3591,-32.9807,1.4982252E-10
56.5678,32.6131,4.3989487E-10
56.7051,48.7616,3.717058E-10
56.7549,-63.9893,2.4196897E-10
56.9026,-1.5405,1.755012E-10
57.0576,60.5929,2.5425653E-10
57.087,44.5692,2.535413E-10
57.1414,-27.8349,6.340623E-10
57.1508,-16.1735,6.188375E-10
57.2179,-8.4745,1.6718381E-10
57.3473,-11.9963,2.8778405E-10
57.3695,40.435,2.5289718E-10
57.4703,-21.0549,1.1670618E-09
57.503,6.6764,9.068541E-11
57.5424,24.3566,1.8803441E-10
57.612,-51.7466,1.3975719E-10
57.7063,-28.2389,1.5983373E-10
58.0033,-25.27,1.039059E-10
58.2266,-36.3885,1.4930203E-10
58.2771,56.9072,4.2548945E-10
58.2775,-68.5286,2.4489552E-10
58.3965,82.9639,1.3632129E-10
58.5932,46.7259,7.947157E-10
58.6883,80.1681,3.4480077E-10
58.7847,-18.6952,1.3410452E-10
58.8365,39.1678,2.4548955E-10
